Gene_ID	Tissue	Ribo_TPM	RNA_TPM	TE
ENSG00000115806	Fibroblasts	116.7533897	132.3761999	0.881981729254943
ENSG00000277058	Fibroblasts	0	0	NA
ENSG00000074621	Fibroblasts	0.193704896	3.657520209	0.05296071789934435
ENSG00000099940	Fibroblasts	52.20264704	51.40090794	1.0155977614429663
ENSG00000172578	Fibroblasts	0.006241111	0.003800559	1.642156061779333
ENSG00000161980	Fibroblasts	48.53050176	24.67133854	1.967080208530915
ENSG00000211872	Fibroblasts	0	0	NA
ENSG00000167900	Fibroblasts	12.47569693	4.313647459	2.8921456953953637
ENSG00000263956	Fibroblasts	0.026518683	0.601803078	0.044065382796197664
ENSG00000237763	Fibroblasts	0	0	NA
ENSG00000168116	Fibroblasts	6.233556028	8.853226866	0.7040998861036077
ENSG00000016864	Fibroblasts	59.94034833	96.2687066	0.6226358538196045
ENSG00000224389	Fibroblasts	0.016192894	0.049287431	0.3285400287955767
ENSG00000137177	Fibroblasts	5.47749447	24.78541695	0.22099666433087786
ENSG00000120784	Fibroblasts	5.10926893	5.128315992	0.9962859032029787
ENSG00000196376	Fibroblasts	0.026777407	0.023872001	1.121707685920422
ENSG00000176092	Fibroblasts	0.103749273	0.093677327	1.1075174358892628
ENSG00000120549	Fibroblasts	1.319627869	2.459395597	0.536565923192551
ENSG00000211941	Fibroblasts	0	0	NA
ENSG00000121281	Fibroblasts	11.26587751	25.16887825	0.4476114270209877
ENSG00000132603	Fibroblasts	50.87906122	29.53594178	1.7226151649057047
ENSG00000239282	Fibroblasts	11.59649105	11.96606903	0.9691145037628117
ENSG00000169031	Fibroblasts	4.82796337	15.36349925	0.3142489410412149
ENSG00000147099	Fibroblasts	12.31624231	18.79149303	0.6554158464331452
ENSG00000115112	Fibroblasts	0.003242307	0.003223554	1.005817492122049
ENSG00000206474	Fibroblasts	0	0	NA
ENSG00000097007	Fibroblasts	19.46002128	60.75183825	0.32031987575289544
ENSG00000189143	Fibroblasts	0.022213822	0.065129107	0.34107364622702413
ENSG00000100263	Fibroblasts	11.92508139	16.46607032	0.7242214540718663
ENSG00000184908	Fibroblasts	0.006664841	0.032326855	0.20617041156648241
ENSG00000182162	Fibroblasts	0.002157844	0	Inf
ENSG00000144840	Fibroblasts	35.28959383	26.05962697	1.3541864536520647
ENSG00000228570	Fibroblasts	0	0.012784235	0
ENSG00000085117	Fibroblasts	20.58789072	10.73891042	1.9171303153490689
ENSG00000094963	Fibroblasts	3.229687424	3.035101977	1.0641116669141824
ENSG00000166428	Fibroblasts	0.012228337	0.008419977	1.4523005229111672
ENSG00000240563	Fibroblasts	0.001794247	0.007923243	0.2264536124917537
ENSG00000087995	Fibroblasts	5.485647607	7.690610006	0.7132916118123594
ENSG00000160207	Fibroblasts	0.970232674	1.565819638	0.6196324598657256
ENSG00000124193	Fibroblasts	66.06580446	76.06679642	0.8685235552082422
ENSG00000047621	Fibroblasts	17.16495319	23.58747704	0.7277146750748887
ENSG00000156959	Fibroblasts	0.020831299	0.0205953	1.0114588765397932
ENSG00000179934	Fibroblasts	0	0	NA
ENSG00000215126	Fibroblasts	0.178303708	0.910166955	0.19590219906412665
ENSG00000136694	Fibroblasts	0	0.001233439	0
ENSG00000112367	Fibroblasts	14.21319829	24.51558329	0.5797617834284864
ENSG00000215029	Fibroblasts	0	0	NA
ENSG00000145349	Fibroblasts	48.44118083	33.79233637	1.4334960536497523
ENSG00000109846	Fibroblasts	126.3604711	89.6550024	1.4094079272480171
ENSG00000211793	Fibroblasts	0	0	NA
ENSG00000081041	Fibroblasts	5.591607361	1.894664418	2.9512389148588527
ENSG00000127884	Fibroblasts	186.9623512	144.1240616	1.29723204525621
ENSG00000160803	Fibroblasts	3.523555754	4.49961203	0.7830799034466979
ENSG00000213782	Fibroblasts	73.1581753	102.1897758	0.7159050377327474
ENSG00000150281	Fibroblasts	9.72968885	3.230380142	3.0119330921766174
ENSG00000168118	Fibroblasts	22.11203327	50.73923948	0.43579749118462746
ENSG00000213401	Fibroblasts	0.00237205	0	Inf
ENSG00000062716	Fibroblasts	99.25111598	123.8684855	0.8012620448160722
ENSG00000179165	Fibroblasts	0.034132024	0.010037564	3.4004290283977263
ENSG00000064989	Fibroblasts	2.572752582	2.798993762	0.9191705308273568
ENSG00000176979	Fibroblasts	0	0	NA
ENSG00000198646	Fibroblasts	2.983442686	9.765762138	0.3055002409275351
ENSG00000148925	Fibroblasts	22.8740414	41.91121962	0.5457736999160131
ENSG00000087245	Fibroblasts	1288.905345	1497.470188	0.8607218730153444
ENSG00000167842	Fibroblasts	22.57591495	19.88260445	1.135460648868866
ENSG00000176435	Fibroblasts	7.78545572	4.127176104	1.8863880590058775
ENSG00000189090	Fibroblasts	0	0	NA
ENSG00000054598	Fibroblasts	10.79556284	3.561564435	3.03112944803426
ENSG00000205670	Fibroblasts	0	0	NA
ENSG00000039560	Fibroblasts	93.18713382	160.8256495	0.579429550632718
ENSG00000147481	Fibroblasts	0	0.001573144	0
ENSG00000159322	Fibroblasts	24.36890924	36.08641266	0.6752932043869168
ENSG00000139505	Fibroblasts	31.85140636	37.47102323	0.850027664430022
ENSG00000234560	Fibroblasts	0	0	NA
