hgnc,ensg
HGNC:11534,ENSG00000103168
HGNC:15923,ENSG00000131051
HGNC:689,ENSG00000166233
HGNC:6950,ENSG00000166508
HGNC:1112,ENSG00000121152
HGNC:1720,ENSG00000130177
HGNC:9807,ENSG00000152942
HGNC:16909,ENSG00000080986
HGNC:11327,ENSG00000149136
HGNC:10894,ENSG00000100462
HGNC:17843,ENSG00000137574
HGNC:3261,ENSG00000145191
HGNC:9795,ENSG00000100949
HGNC:28945,ENSG00000163811
HGNC:14672,ENSG00000113812
HGNC:1983,ENSG00000141076
HGNC:24557,ENSG00000130935
HGNC:28996,ENSG00000137815
HGNC:17059,ENSG00000211456
HGNC:2498,ENSG00000060069
HGNC:4162,ENSG00000106105
